total_exact	total_pct	UISEvent_pct	UISEvent_exact	UIStudio_pct	UIStudio_exact	UISApi_pct	UISApi_exact	UISScreen_pct	UISScreen_exact	flags
33	387.356	97.828	6	97.991	3	95.857	11	95.680	13	opt=-O4,p | inline=-inline auto | pool=-pragma "pool_data on" | str=-str reuse | fpc=-fp_contract on | lang=-lang=c | cc=GC/2.5 | misc=
33	387.356	97.828	6	97.991	3	95.857	11	95.680	13	opt=-O4,p | inline=-inline auto | pool=-pragma "pool_data on" | str=-str readonly | fpc=-fp_contract on | lang=-lang=c | cc=GC/2.5 | misc=
33	387.356	97.828	6	97.991	3	95.857	11	95.680	13	opt=-O4,p | inline=-inline auto | pool=-pragma "pool_data on" | str=-str noreuse | fpc=-fp_contract on | lang=-lang=c | cc=GC/2.5 | misc=
33	387.280	97.828	6	97.991	3	95.781	11	95.680	13	opt=-O4,p | inline=-inline auto | pool=-pragma "pool_data on" | str=-str reuse | fpc=-fp_contract off | lang=-lang=c | cc=GC/2.5 | misc=
-1	-1.000	ERR	ERR	ERR	ERR	ERR	ERR	ERR	ERR	opt=-O4,p | inline=-inline auto | pool=-pragma "pool_data on" | str=-str reuse | fpc=-fp_contract on | lang=-lang=c++ | cc=GC/2.5 | misc=
33	387.356	97.828	6	97.991	3	95.857	11	95.680	13	opt=-O4,p | inline=-inline auto | pool=-pragma "pool_data on" | str=-str reuse | fpc=-fp_contract on | lang=-lang=c | cc=GC/1.3.2 | misc=
33	387.356	97.828	6	97.991	3	95.857	11	95.680	13	opt=-O4,p | inline=-inline auto | pool=-pragma "pool_data on" | str=-str reuse | fpc=-fp_contract on | lang=-lang=c | cc=GC/1.1 | misc=
33	387.356	97.828	6	97.991	3	95.857	11	95.680	13	opt=-O4,p | inline=-inline auto | pool=-pragma "pool_data on" | str=-str reuse | fpc=-fp_contract on | lang=-lang=c | cc=GC/3.0a3 | misc=
33	387.356	97.828	6	97.991	3	95.857	11	95.680	13	opt=-O4,p | inline=-inline auto | pool=-pragma "pool_data on" | str=-str reuse | fpc=-fp_contract on | lang=-lang=c | cc=GC/3.0a5 | misc=
33	387.356	97.828	6	97.991	3	95.857	11	95.680	13	opt=-O4,p | inline=-inline auto | pool=-pragma "pool_data on" | str=-str reuse | fpc=-fp_contract on | lang=-lang=c | cc=GC/1.2.5 | misc=
20	381.404	97.179	2	97.225	2	94.319	9	92.681	7	opt=-O4,p | inline=-inline auto | pool=-pragma "pool_data on" | str=-str reuse | fpc=-fp_contract on | lang=-lang=c | cc=GC/2.5 | misc=-pragma "opt_propagation off"
11	358.736	90.813	2	91.723	0	91.349	6	84.851	3	opt=-O4,p | inline=-inline auto | pool=-pragma "pool_data on" | str=-str reuse | fpc=-fp_contract on | lang=-lang=c | cc=GC/2.5 | misc=-pragma "peephole off"
28	380.006	97.008	4	97.456	3	92.008	10	93.533	11	opt=-O4,p | inline=-inline auto | pool=-pragma "pool_data on" | str=-str reuse | fpc=-fp_contract on | lang=-lang=c | cc=GC/2.5 | misc=-pragma "opt_common_subs off"
10	283.601	67.122	1	71.374	0	69.607	5	75.499	4	opt=-O4,p | inline=-inline auto | pool=-pragma "pool_data on" | str=-str reuse | fpc=-fp_contract on | lang=-lang=c | cc=GC/2.5 | misc=-pragma "scheduling off"
33	387.147	97.657	6	97.953	3	95.857	11	95.680	13	opt=-O4,p | inline=-inline auto | pool=-pragma "pool_data on" | str=-str reuse | fpc=-fp_contract on | lang=-lang=c | cc=GC/2.5 | misc=-pragma "opt_dead_assignments off"
32	384.546	97.828	6	96.338	3	95.512	10	94.868	13	opt=-O4,p | inline=-inline auto | pool=-pragma "pool_data on" | str=-str reuse | fpc=-fp_contract on | lang=-lang=c | cc=GC/2.5 | misc=-pragma "opt_lifetimes off"
10	235.360	53.034	1	63.540	0	61.616	5	57.171	4	opt=-O2,p | inline=-inline auto | pool=-pragma "pool_data on" | str=-str reuse | fpc=-fp_contract on | lang=-lang=c | cc=GC/2.5 | misc=
10	252.782	58.885	1	67.135	0	62.664	5	64.098	4	opt=-O3,s | inline=-inline auto | pool=-pragma "pool_data on" | str=-str reuse | fpc=-fp_contract on | lang=-lang=c | cc=GC/2.5 | misc=
10	283.488	67.139	1	71.402	0	69.359	5	75.587	4	opt=-O3,p | inline=-inline auto | pool=-pragma "pool_data on" | str=-str reuse | fpc=-fp_contract on | lang=-lang=c | cc=GC/2.5 | misc=
14	341.713	85.113	1	89.021	0	87.004	6	80.574	7	opt=-O4,s | inline=-inline auto | pool=-pragma "pool_data on" | str=-str reuse | fpc=-fp_contract on | lang=-lang=c | cc=GC/2.5 | misc=
28	380.006	97.008	4	97.456	3	92.008	10	93.533	11	opt=-O4,p -opt nocse | inline=-inline auto | pool=-pragma "pool_data on" | str=-str reuse | fpc=-fp_contract on | lang=-lang=c | cc=GC/2.5 | misc=
20	381.404	97.179	2	97.225	2	94.319	9	92.681	7	opt=-O4,p -opt nopropagation | inline=-inline auto | pool=-pragma "pool_data on" | str=-str reuse | fpc=-fp_contract on | lang=-lang=c | cc=GC/2.5 | misc=
11	358.736	90.813	2	91.723	0	91.349	6	84.851	3	opt=-O4,p -opt nopeephole | inline=-inline auto | pool=-pragma "pool_data on" | str=-str reuse | fpc=-fp_contract on | lang=-lang=c | cc=GC/2.5 | misc=
27	379.983	95.246	4	97.391	3	94.172	10	93.174	10	opt=-O4,p -opt noloop | inline=-inline auto | pool=-pragma "pool_data on" | str=-str reuse | fpc=-fp_contract on | lang=-lang=c | cc=GC/2.5 | misc=
10	283.601	67.122	1	71.374	0	69.607	5	75.499	4	opt=-O4,p -opt noschedule | inline=-inline auto | pool=-pragma "pool_data on" | str=-str reuse | fpc=-fp_contract on | lang=-lang=c | cc=GC/2.5 | misc=
32	384.546	97.828	6	96.338	3	95.512	10	94.868	13	opt=-O4,p -opt nolifetimes | inline=-inline auto | pool=-pragma "pool_data on" | str=-str reuse | fpc=-fp_contract on | lang=-lang=c | cc=GC/2.5 | misc=
27	317.144	62.993	4	96.022	2	85.833	10	72.296	11	opt=-O4,p | inline=-inline off | pool=-pragma "pool_data on" | str=-str reuse | fpc=-fp_contract on | lang=-lang=c | cc=GC/2.5 | misc=
29	360.854	87.036	4	97.991	3	94.927	10	80.901	12	opt=-O4,p | inline=-inline deferred | pool=-pragma "pool_data on" | str=-str reuse | fpc=-fp_contract on | lang=-lang=c | cc=GC/2.5 | misc=
33	387.356	97.828	6	97.991	3	95.857	11	95.680	13	opt=-O4,p | inline=-inline all | pool=-pragma "pool_data on" | str=-str reuse | fpc=-fp_contract on | lang=-lang=c | cc=GC/2.5 | misc=
10	282.867	66.519	1	71.402	0	69.359	5	75.587	4	opt=-O3,p | inline=-inline all | pool= | str=-str reuse | fpc=-fp_contract on | lang=-lang=c | cc=GC/2.5 | misc=
10	234.732	52.406	1	63.540	0	61.616	5	57.171	4	opt=-O2,p | inline=-inline all | pool= | str=-str reuse | fpc=-fp_contract on | lang=-lang=c | cc=GC/2.5 | misc=
10	252.162	58.265	1	67.135	0	62.664	5	64.098	4	opt=-O3,s | inline=-inline all | pool= | str=-str reuse | fpc=-fp_contract on | lang=-lang=c | cc=GC/2.5 | misc=
14	339.871	83.272	1	89.021	0	87.004	6	80.574	7	opt=-O4,s | inline=-inline all | pool= | str=-str reuse | fpc=-fp_contract on | lang=-lang=c | cc=GC/2.5 | misc=
28	378.076	95.078	4	97.456	3	92.008	10	93.533	11	opt=-O4,p -opt nocse | inline=-inline all | pool= | str=-str reuse | fpc=-fp_contract on | lang=-lang=c | cc=GC/2.5 | misc=
10	282.981	66.501	1	71.374	0	69.607	5	75.499	4	opt=-O4,p -opt noschedule | inline=-inline all | pool= | str=-str reuse | fpc=-fp_contract on | lang=-lang=c | cc=GC/2.5 | misc=
11	356.983	89.060	2	91.723	0	91.349	6	84.851	3	opt=-O4,p -opt nopeephole | inline=-inline all | pool= | str=-str reuse | fpc=-fp_contract on | lang=-lang=c | cc=GC/2.5 | misc=
32	382.315	95.597	6	96.338	3	95.512	10	94.868	13	opt=-O4,p -opt nolifetimes | inline=-inline all | pool= | str=-str reuse | fpc=-fp_contract on | lang=-lang=c | cc=GC/2.5 | misc=
27	377.766	93.029	4	97.391	3	94.172	10	93.174	10	opt=-O4,p -opt noloop | inline=-inline all | pool= | str=-str reuse | fpc=-fp_contract on | lang=-lang=c | cc=GC/2.5 | misc=
20	379.187	94.962	2	97.225	2	94.319	9	92.681	7	opt=-O4,p -opt nopropagation | inline=-inline all | pool= | str=-str reuse | fpc=-fp_contract on | lang=-lang=c | cc=GC/2.5 | misc=
33	387.356	97.828	6	97.991	3	95.857	11	95.680	13	opt=-O4,p | inline=-inline all | pool=-pragma "pool_data on" | str=-str readonly | fpc=-fp_contract on | lang=-lang=c | cc=GC/2.5 | misc=
