address	unit	tw07_name	tw07_file	line	score	conf	evidence
800060E0	LLFileIO_Gc	loadActorTemplateCB	GenericActor.cpp	155	8	low	calls:2 strcmp,strcpy; size x1.1
800083A4	GoEntry	BlockOnAllJobsComplete	managerplat.cpp	1642	4	low	calls:1 printf; size x1.0
800097CC	StaticMemory	CO_TnTestHelp	TigerNetTestHarness.cpp	320	4	low	calls:1 printf; size x1.1
8000B130	urandom	Misc_RandFunc	URandom.c	90	12	med	callers:14 CharacterState_UpdateSKAState,ComicCam_I; size x2.9
8000B194	urandom	Misc_PMRand	URandom.c	161	3	low	size x1.5; gap 1/1
8000B1D4	urandom	Misc_SetSeedFunc	URandom.c	191	12	med	callers:4 GameModeReplay_SetupNextGolfer,REPLAY_Pl; size x1.8
8000B428	urandom	Misc_RandFuncg	URandom.c	342	5	low	calls:1 Misc_RandFunc; callers:1 GM_PgaTourSim_SimAdjustEntrantScores; size x5.8
8000D4F0	UStream	Stream_ParseBufs	UStream.c	1222	4	low	calls:1 Mem_cpy; size x3.1
8000E148	UStream	Stream_OpenStreamFiles	UStream.c	2514	4	low	calls:1 Mem_cpy; size x1.7
8000E254	UStream	Stream_OpenStreamFile	UStream.c	2625	4	low	calls:1 memset; size x1.7
8000E2B0	UStream	Stream_RegisterLoadChunkCallback	UStream.c	2660	6	low	callers:2 GameModeDriverPGATour_RegisterStreamClie; size x3.7
8000E358	UStream	Stream_UnregisterLoadChunkCallback	UStream.c	2714	6	low	callers:2 GameModeDriverPGATour_UnregisterStreamCl; size x1.7
8000E790	UStream	Stream_StreamLoadFixedSize	UStream.c	2920	7	low	calls:1 Mem_cpy; callers:1 GameModeDriverPGATour_LoadPGAtFromStream; size x1.5
8000E81C	UStream	Stream_StreamLoadVariableSize	UStream.c	2956	4	low	callers:2 GameModeDriverPGATour_Locale_PgaTourMode; size x5.6
8000FBB0	LLTex	TX_spParseTextureGroupFromStream	LLTex.c	306	5	low	file:lltex.c; calls:1 Mem_cpy; size x0.8
800128F8	UFont	FO_vAddStringToDisplayList	UFont.c	649	4	low	calls:1 Mem_cpy; size x1.5
8001497C	streammanagerhole	Emi_SetTrackVarRangeTmpl	HLAudEmitter.c	585	4	low	calls:1 sprintf; size x1.3
80014A64	streammanagerhole	Emi_SetTrackStep	HLAudEmitter.c	619	4	low	calls:1 sprintf; size x1.0
80014BB4	streammanagerhole	Emi_SetTrackAttenuation	HLAudEmitter.c	652	4	low	calls:1 sprintf; size x1.4
80014C9C	streammanagerhole	Emi_SetTrackPitchFactor	HLAudEmitter.c	687	4	low	calls:1 sprintf; size x1.2
80014DFC	streammanagerhole	Emi_SetTrackPitchRamp	HLAudEmitter.c	723	4	low	calls:1 sprintf; size x3.2
8001529C	streammanagerhole	core::VerifyLockedHelper	system.cpp	1709	4	low	calls:1 strcpy; size x1.2
80015334	streammanagerhole	core::VerifyUnlockedHelper	system.cpp	1722	4	low	calls:1 strcpy; size x1.2
